vid,gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
609019,KARNATAKA,Chikmagalur,Koppa,Lokanathapura,Lokanathapura,136,whole_village,False,False,Lokanathapura,Koppa,Chikkamagaluru,609019,609019,100.0,dist+tal,7.892
609011,KARNATAKA,Chikmagalur,Koppa,Machikoppa,Machikoppa,137,whole_village,False,False,Machikoppa,Koppa,Chikkamagaluru,609011,609011,100.0,dist+tal,4.173
609005,KARNATAKA,Chikmagalur,Koppa,Marithotlu,Marithotlu,138,whole_village,False,False,Marithotlu,Koppa,Chikkamagaluru,609005,609005,100.0,dist+tal,8.789
609034,KARNATAKA,Chikmagalur,Koppa,Megur,Megur,139,whole_village,False,False,Megur,Koppa,Chikkamagaluru,609034,609034,100.0,dist+tal,17.694
609008,KARNATAKA,Chikmagalur,Koppa,Nuggi,Nuggi,140,whole_village,False,False,Nuggi,Koppa,Chikkamagaluru,609008,609008,100.0,dist+tal,11.557
608975,KARNATAKA,Chikmagalur,Koppa,Shankarapura,Shankarapura,141,whole_village,False,False,Shankarapura,Koppa,Chikkamagaluru,608975,608975,100.0,dist+tal,1.304
609001,KARNATAKA,Chikmagalur,Koppa,Talamakki Estate,Talamakki Estate,142,whole_village,False,False,Talamakki Estate,Koppa,Chikkamagaluru,609001,609001,100.0,dist+tal,3.084
609012,KARNATAKA,Chikmagalur,Koppa,Udana,Udana,143,whole_village,False,False,Udana,Koppa,Chikkamagaluru,609012,609012,100.0,dist+tal,0.509
609907,KARNATAKA,Chikmagalur,Mudigere,Aramane Thalagur,Aramane Thalagur,144,whole_village,False,False,Aramane Thalagur,Mudigere,Chikkamagaluru,609907,609907,100.0,dist+tal,7.01
609927,KARNATAKA,Chikmagalur,Mudigere,Attigere,Attigere,145,whole_village,False,False,Attigere,Mudigere,Chikkamagaluru,609927,609927,100.0,dist+tal,14.902
609926,KARNATAKA,Chikmagalur,Mudigere,Balur,Balur,146,whole_village,False,False,Balur,Mudigere,Chikkamagaluru,609926,609926,100.0,dist+tal,17.641
609937,KARNATAKA,Chikmagalur,Mudigere,Barimale Estate,Barimale Estate,147,whole_village,False,False,Barimale Estate,Mudigere,Chikkamagaluru,609937,609937,100.0,dist+tal,3.6
610017,KARNATAKA,Chikmagalur,Mudigere,Byarapura,Byarapura,148,whole_village,False,False,Byrapura,Mudigere,Chikkamagaluru,610017,610017,94.1,dist+tal,41.071
